"PayZen - Standard payment","PayZen - Standard payment"
"PayZen - Payment in installments","PayZen - Payment in installments"
"PayZen - Gift card payment","PayZen - Gift card payment"
"PayZen - FacilyPay Oney payment (Deprecated)","PayZen - FacilyPay Oney payment (Deprecated)"
"PayZen - Payment in 3 or 4 times Oney","PayZen - Payment in 3 or 4 times Oney"
"PayZen - Full CB payment","PayZen - Full CB payment"
"PayZen - SEPA payment","PayZen - SEPA payment"
"PayZen - PayPal payment","PayZen - PayPal payment"
"PayZen - Sofort Banking payment","PayZen - Sofort Banking payment"
"PayZen - PostFinance payment","PayZen - PostFinance payment"
"PayZen - Giropay payment","PayZen - Giropay payment"
"PayZen - iDEAL payment","PayZen - iDEAL payment"
"PayZen - Choozeo payment","PayZen - Choozeo payment"
"PayZen - Other payment means","PayZen - Other payment means"
"MODULE INFORMATION","MODULE INFORMATION"
"Developed by","Developed by"
"Contact us","Contact us"
"Module version","Module version"
"Gateway version","Gateway version"
"Reset the module","Reset the module"
"Click this button to remove all previous versions settings and/or reset the current module settings.","Click this button to remove all previous versions settings and/or reset the current module settings."
"Reset","Reset"
"Logs","Logs"
"Enable / disable module logs.","Enable / disable module logs."
"PAYMENT GATEWAY ACCESS","PAYMENT GATEWAY ACCESS"
"Store identifier","Shop ID"
"The identifier provided by PayZen.","The identifier provided by PayZen."
"Key in test mode","Key in test mode"
"Key provided by PayZen for test mode (available in PayZen Back Office).","Key provided by PayZen for test mode (available in PayZen Back Office)."
"Key in production mode","Key in production mode"
"Key provided by PayZen (available in PayZen Back Office after enabling production mode).","Key provided by PayZen (available in PayZen Back Office after enabling production mode)."
"Mode","Mode"
"The context mode of this module.","The context mode of this module."
"Signature algorithm","Signature algorithm"
"Algorithm used to compute the payment form signature. Selected algorithm must be the same as one configured in the PayZen Back Office.<br /><b>The HMAC-SHA-256 algorithm should not be activated if it is not yet available in the PayZen Back Office, the feature will be available soon.</b>","Algorithm used to compute the payment form signature. Selected algorithm must be the same as one configured in the PayZen Back Office.<br /><b>The HMAC-SHA-256 algorithm should not be activated if it is not yet available in the PayZen Back Office, the feature will be available soon.</b>"
"Payment page URL","Payment page URL"
"Link to the payment page.","Link to the payment page."
"Instant Payment Notification URL","Instant Payment Notification URL"
