"Accept payments by credit cards with PayZen.","Bezahlungen mit Kreditkarten akzeptieren with PayZen."
"GENERAL CONFIGURATION","ALLGEMEINE KONFIGURATION"
"STANDARD PAYMENT","STANDARDZAHLUNG"
"PAYMENT IN INSTALLMENTS","RATENZAHLUNG"
"GIFT CARD PAYMENT","ZAHLUNG ANHAND GESCHENKKARTE"
"CHOOZEO PAYMENT","CHOOZEO ZAHLUNG"
"FULL CB PAYMENT","FULL CB ZAHLUNG"
"SEPA PAYMENT","SEPA ZAHLUNG"
"PAYPAL PAYMENT","PAYPAL ZAHLUNG"
"MODULE INFORMATION","MODULINFORMATIONEN"
"Developed by","Entwickelt von"
"Contact us","E-Mail-Adresse"
"Module version","Modulversion"
"Gateway version","Kompatibel mit Zahlungsschnittstelle"
"Reset the module","Zurückgesetzt die Modul"
"Click this button to reset the module settings.","Auf diese Taste klicken, um das Modulaufbau rückzusetzen."
"Reset","Resetten"
"Logs","Logdaten"
"Enable / disable module logs.","Logdateien des Moduls aktivieren."
"Enable","Aktiviert"
"Disable","Deaktiviert"
"PAYMENT GATEWAY ACCESS","ZUGANG ZAHLUNGSSCHNITTSTELLE"
"Store identifier","Shop ID"
"The identifier provided by PayZen.","Die Kennung von PayZen bereitgestellt."
"Key in test mode","Schlüssel im Testbetrieb"
"Key provided by PayZen for test mode (available in PayZen Back Office).","Schlüssel, das von PayZen zu Testzwecken bereitgestellt wird (im PayZen Back Office verfügbar)."
"Key in production mode","Schlüssel im Produktivbetrieb"
"Key provided by PayZen (available in PayZen Back Office after enabling production mode).","Von PayZen bereitgestelltes Schlüssel (im PayZen Back Office verfügbar, nachdem der Produktionsmodus aktiviert wurde)."
"Mode","Modus"
"The context mode of this module.","Kontextmodus dieses Moduls."
"Signature algorithm","Signaturalgorithmus"
"Algorithm used to compute the payment form signature. Selected algorithm must be the same as one configured in the PayZen Back Office.<br /><b>The HMAC-SHA-256 algorithm should not be activated if it is not yet available in the PayZen Back Office, the feature will be available soon.</b>","Algorithmus zur Berechnung der Zahlungsformsignatur. Der ausgewählte Algorithmus muss derselbe sein, wie er im PayZen Back Office.<br /><b>Der HMAC-SHA-256-Algorithmus sollte nicht aktiviert werden, wenn er noch nicht im PayZen Back Office verfügbar ist. Die Funktion wird in Kürze verfügbar sein.</b>"
"Payment page URL","Plattform-URL"
"Link to the payment page.","Link zur Bezahlungsplattform."
"Instant Payment Notification URL","Benachrichtigung-URL"
"URL to copy into your PayZen Back Office > Settings > Notification rules.<br />In multistore mode, notification URL is the same for all the stores.","URL, die Sie in Ihre PayZen Back Office kopieren sollen > Einstellung > Regeln der Benachrichtigungen.<br />Unter Multistore Modus, die URL Bestätigung ist die gleiche für alle Geschäfte."
"PAYMENT PAGE","ZAHLUNGSSEITE"
"Default Language","Standardsprache"
"Default language on the payment page.","Standardsprache auf Zahlungsseite."
"French","Französisch"
"German","Deutsch"
"English","Englisch"
"Spanish","Spanisch"
"Chinese","Chinesisch"
"Italian","Italienisch"
"Japanese","Japanisch"
"Portuguese","Portugiesisch"
"Dutch","Holländisch"
"Swedish","Schwedisch"
"Russian","Russisch"
"Polish","Polnisch"
"Turkish","Türkisch"
"Available languages","Verfügbare Sprachen"
"Languages available on the payment page. If you do not select any, all the supported languages will be available.","Verfügbare Sprachen der Zahlungsseite. Nichts auswählen, um die Einstellung der Zahlungsplattform zu benutzen."
"Capture delay","Einzugsfrist"
"The number of days before the bank capture (adjustable in your PayZen Back Office).","Anzahl der Tage bis zum Einzug der Zahlung (Einstellung über Ihr PayZen Back Office)."
"Validation mode","Bestätigungsmodus"
"If manual is selected, you will have to confirm payments manually in your PayZen Back Office.","Bei manueller Eingabe müssen Sie Zahlungen manuell in Ihr PayZen Back Office bestätigen."
"PayZen general configuration","PayZen allgemeine Konfiguration"
"PayZen Back Office configuration","PayZen Back Office Konfiguration"
"Automatic","Automatisch"
"Manual","Manuell"
"Card Types","Kartentypen"
"The card type(s) that can be used for the payment. Select none to use gateway configuration.","Wählen Sie die zur Zahlung verfügbaren Kartentypen aus. Nichts auswählen, um die Einstellungen der Plattform zu verwenden."
"ALL","ALLE"
"Category mapping","Kategorie-Mapping"
"Use the same category for all products.","Gleiche Kategorie für alle Produkte verwenden."
"(Use category mapping below)","(Nutzen Sie die Abbildung Kategorie unten)"
"Food and grocery","Lebensmittel"
"Automotive","Automobil"
"Entertainment","Unterhaltung"
"Home and garden","Haus und Garten"
"Home appliance","Haushaltsgeräte"
"Auction and group buying","Auktion und Gruppenkauf"
"Flowers and gifts","Blumen und Geschenkartikel"
"Computer and software","Computer und software"
"Health and beauty","Schönheitspflege und Gesundheit"
"Service for individual","Privatkundenservice"
"Service for business","Geschäftskundenservice"
"Sports","Sport"
"Clothing and accessories","Bekleidung und Accessoires"
"Travel","Reisen"
"Home audio, photo, video","Audio, Foto, Video"
"Telephony","Telephony"
"Magento category","Magento-Kategorie"
"PayZen category","PayZen-Kategorie"
"Match each product category with a PayZen category.<br /><b>Entries marked with * are newly added and must be configured.</b>","Übereinstimmung zwischen jeder Produktkategorie und der PayZen Kategorie.<br /><b>Die mit * markierten Einträge sind neu und müssen eingestellt werden.</b>"
"PAYMENT PAGE CUSTOMIZE","PERSONALISIERUNG DER ZAHLUNGSSEITE"
"Theme configuration","Oberflächenkonfiguration"
"The theme configuration to customize the payment page.","Konfiguration zur kundenspezifischen Gestaltung der Zahlungsseite."
"Shop name","Shopbezeichnung"
"Shop name to display on the payment page. Leave blank to use gateway configuration.","Shopbezeichnung zur Anzeige auf der Zahlungsseite. Feld leer lassen, um Schnittstellenkonfiguration zu verwenden."
"Shop URL","Shop-URL"
"Shop URL to display on the payment page. Leave blank to use gateway configuration.","Shop-URL zur Anzeige auf der Zahlungsseite. Feld leer lassen, um Schnittstellenkonfiguration zu verwenden."
"SELECTIVE 3DS","SELEKTIVES 3DS"
"Disable 3DS","3DS deaktivieren"
"Amount below which 3DS will be disabled. Needs subscription to selective 3DS option. For more information, refer to the module documentation.","Betrag, unter dem 3DS deaktiviert wird. Muss für die Option Selektives 3DS freigeschaltet sein. Weitere Informationen finden Sie in der Moduldokumentation."
"RETURN TO SHOP","RÜCKKEHR ZUM LADEN"
"Automatic redirection","Automatische Weiterleitung"
"If enabled, the buyer is automatically redirected to your site at the end of the payment.","Ist diese Einstellung aktiviert, wird der Kunde am Ende des Bezahlvorgangs automatisch auf Ihre Seite weitergeleitet."
"Redirection timeout on success","Zeitbeschränkung Weiterleitung im Erfolgsfall"
"Time in seconds (0-300) before the buyer is automatically redirected to your website after a successful payment.","Zeitspanne in Sekunden (0-300) bis zur automatischen Weiterleitung des Kunden auf Ihre Seite nach erfolgter Zahlung."
"Redirection message on success","Weiterleitungs-Nachricht im Erfolgsfall"
"Message displayed on the payment page prior to redirection after a successful payment.","Nachricht, die nach erfolgter Zahlung und vor der Weiterleitung auf der Plattform angezeigt wird."
"Redirection timeout on failure","Zeitbeschränkung Weiterleitung nach Ablehnung"
"Time in seconds (0-300) before the buyer is automatically redirected to your website after a declined payment.","Zeitspanne in Sekunden (0-300) bis zur automatischen Weiterleitung des Kunden auf Ihre Seite nach fehlgeschlagener Zahlung."
"Redirection message on failure","Weiterleitungs-Nachricht nach Ablehnung"
"Message displayed on the payment page prior to redirection after a declined payment.","Nachricht, die nach fehlgeschlagener Zahlung und vor der Weiterleitung auf der Plattform angezeigt wird."
"Return mode","Übermittlungs-Modus"
"Method that will be used for transmitting the payment result from the payment page to your shop.","Methode, die zur Übermittlung des Zahlungsergebnisses von der Zahlungsschnittstelle an Ihren Shop verwendet wird."
"GET (parameters in the URL)","GET (URL Einstellungen)"
"POST (form)","POST (Formular)"
"Registered orders status","Status der gespeicherten Bestellungen"
"Status of orders when payment is successfull.","Status der Bestellungen bei erfolgreicher Zahlung."
"Invoice creation","Erstellen der Rechnung"
"Automatically create invoice when payment is successfull.","Automatisches Erstellen der Rechnung bei gelungener Zahlung."
"ADDITIONAL OPTIONS","ZUSÄTZLICHE OPTIONEN"
"Send shopping cart details","Send shopping cart details"
"If you disable this option, the shopping cart details will not be sent to the gateway. Attention, in some cases, this option has to be enabled. For more information, refer to the module documentation.","If you disable this option, the shopping cart details will not be sent to the gateway. Attention, in some cases, this option has to be enabled. For more information, refer to the module documentation."
"FacilyPay Oney contract","FacilyPay Oney Vertrag"
"Select &laquo; Yes &raquo; if you have a FacilyPay Oney contract.","Wählen Sie &laquo; Ja &raquo; wenn Sie einen FacilyPay Oney Vertrag haben."
"FacilyPay Oney shipping options","FacilyPay Oney Lieferoptionen"
