"Accept payments by credit card securely via PayZen payment platform.","Accept payments by credit card securely via PayZen payment platform."
"GENERAL CONFIGURATION","GENERAL CONFIGURATION"
"STANDARD PAYMENT","STANDARD PAYMENT"
"PAYMENT IN INSTALLMENTS","PAYMENT IN INSTALLMENTS"
"GIFT CARD PAYMENT","GIFT CARD PAYMENT"
"FACILYPAY ONEY PAYMENT","FACILYPAY ONEY PAYMENT"
"PAYPAL PAYMENT","PAYPAL PAYMENT"
"SOFORT BANKING PAYMENT","SOFORT BANKING PAYMENT"
"POSTFINANCE PAYMENT","POSTFINANCE PAYMENT"
"MODULE INFORMATION","MODULE INFORMATION"
"Developed by","Developed by"
"Contact us","Contact us"
"Module version","Module version"
"Platform version","Platform version"
"Reset the module","Reset the module"
"Click this button to reset the module settings.","Click this button to reset the module settings."
"Reset","Reset"
"Logs","Logs"
"Enable / disable module logs.","Enable / disable module logs."
"Enable","Enable"
"Disable","Disable"
"PAYMENT PLATFORM ACCESS","PAYMENT PLATFORM ACCESS"
"Store identifier","Shop ID"
"The identifier provided by PayZen.","The identifier provided by PayZen."
"Certificate in test mode","Certificate in test mode"
"Certificate provided by PayZen for test mode (available in your store Back Office).","Certificate provided by PayZen for test mode (available in your store Back Office)."
"Certificate in production mode","Certificate in production mode"
"Certificate provided by PayZen (available in your store Back Office after enabling production mode).","Certificate provided by PayZen (available in your store Back Office after enabling production mode)."
"Mode","Mode"
"The context mode of this module.","The context mode of this module."
"Payment page URL","Payment page URL"
"Link to the payment page.","Link to the payment page."
"Notification URL to copy into your PayZen Back Office","Notification URL to copy into your PayZen Back Office"
"<span style='color: red;'>In multistore mode, notification URL is the same for all the stores.</span>","<span style='color: red;'>In multistore mode, notification URL is the same for all the stores.</span>"
"PAYMENT PAGE","PAYMENT PAGE"
"Default Language","Default Language"
"Default language on the payment page.","Default language on the payment page."
"French","French"
"German","German"
"English","English"
"Spanish","Spanish"
"Chinese","Chinese"
"Italian","Italian"
"Japanese","Japanese"
"Portuguese","Portuguese"
"Dutch","Dutch"
"Swedish","Swedish"
"Russian","Russian"
"Polish","Polish"
"Turkish","Turkish"
"Available languages","Available languages"
"Languages available on the payment page. If you do not select any, all the supported languages will be available.","Languages available on the payment page. If you do not select any, all the supported languages will be available."
"Capture delay","Capture delay"
"The number of days before the bank capture (adjustable in your PayZen Back Office).","The number of days before the bank capture (adjustable in your PayZen Back Office)."
"Validation mode","Validation mode"
"If manual is selected, you will have to confirm payments manually in your PayZen Back Office.","If manual is selected, you will have to confirm payments manually in your PayZen Back Office."
"PayZen general configuration","PayZen general configuration"
"Back Office configuration","Back Office configuration"
"Automatic","Automatic"
"Manual","Manual"
"Card Types","Card Types"
"The card type(s) that can be used for the payment. Select none to use platform configuration.","The card type(s) that can be used for the payment. Select none to use platform configuration."
"ALL","ALL"
"Category mapping","Category mapping"
"Use the same category for all products.","Use the same category for all products."
"(Use category mapping below)","(Use category mapping below)"
"Food and grocery","Food and grocery"
"Automotive","Automotive"
"Entertainment","Entertainment"
"Home and garden","Home and garden"
"Home appliance","Home appliance"
"Auction and group buying","Auction and group buying"
"Flowers and gifts","Flowers and gifts"
"Computer and software","Computer and software"
"Health and beauty","Health and beauty"
"Service for individual","Service for individual"
"Service for business","Service for business"
"Sports","Sports"
"Clothing and accessories","Clothing and accessories"
"Travel","Travel"
"Home audio, photo, video","Home audio, photo, video"
"Telephony","Telephony"
"Magento category","Magento category"
"PayZen category","PayZen category"
"Match each product category with a PayZen category. <br /><b>Entries marked with * are newly added and must be configured.</b>","Match each product category with a PayZen category. <br /><b>Entries marked with * are newly added and must be configured.</b>"
"PAYMENT PAGE CUSTOMIZE","PAYMENT PAGE CUSTOMIZE"
"Theme configuration","Theme configuration"
"The theme configuration to customize the payment page.","The theme configuration to customize the payment page."
"Shop name","Shop name"
"Shop name to display on the payment page. Leave blank to use platform configuration.","Shop name to display on the payment page. Leave blank to use platform configuration."
"Shop URL","Shop URL"
"Shop URL to display on the payment page. Leave blank to use platform configuration.","Shop URL to display on the payment page. Leave blank to use platform configuration."
"SELECTIVE 3-DS","SELECTIVE 3-DS"
"Minimum amount to activate 3-DS","Minimum amount to activate 3-DS"
"Needs subscription to Selective 3-D Secure option.","Needs subscription to Selective 3-D Secure option."
"RETURN TO SHOP","RETURN TO SHOP"
"Automatic redirection","Automatic redirection"
"If enabled, the buyer is automatically redirected to your site at the end of the payment.","If enabled, the buyer is automatically redirected to your site at the end of the payment."
"Redirection timeout on success","Redirection timeout on success"
"Time in seconds (0-300) before the buyer is automatically redirected to your website after a successful payment.","Time in seconds (0-300) before the buyer is automatically redirected to your website after a successful payment."
"Redirection message on success","Redirection message on success"
"Message displayed on the payment page prior to redirection after a successful payment.","Message displayed on the payment page prior to redirection after a successful payment."
"Redirection timeout on failure","Redirection timeout on failure"
"Time in seconds (0-300) before the buyer is automatically redirected to your website after a declined payment.","Time in seconds (0-300) before the buyer is automatically redirected to your website after a declined payment."
"Redirection message on failure","Redirection message on failure"
"Message displayed on the payment page prior to redirection after a declined payment.","Message displayed on the payment page prior to redirection after a declined payment."
"Return mode","Return mode"
"Method that will be used for transmitting the payment result from the payment page to your shop.","Method that will be used for transmitting the payment result from the payment page to your shop."
"GET (parameters in the URL)","GET (parameters in the URL)"
"POST (form)","POST (form)"
"Registered orders status","Registered orders status"
"Status of orders when payment is successfull.","Status of orders when payment is successfull."
"Invoice creation","Invoice creation"
"Automatically create invoice when payment is successfull.","Automatically create invoice when payment is successfull."
"ADDITIONAL OPTIONS","ADDITIONAL OPTIONS"
"Configure this section if you use advanced risk assessment module or if you have a FacilyPay Oney contract.","Configure this section if you use advanced risk assessment module or if you have a FacilyPay Oney contract."
"FacilyPay Oney contract","FacilyPay Oney contract"
"Select &laquo;Yes&raquo; if you have a FacilyPay Oney contract.","Select &laquo;Yes&raquo; if you have a FacilyPay Oney contract."
"FacilyPay Oney shipping options","FacilyPay Oney shipping options"
"Define the FacilyPay Oney information about all shipping methods. <br /><b>FacilyPay Oney label: </b>The label of the shipping method (use 55 alphanumeric characters, accentuated characters and these special characters: space, slash, hyphen, apostrophe). <br /><b>Type: </b>The delivery type of shipping method. <br /><b>Speed: </b>Select whether the delivery is STANDARD or EXPRESS. <br /><b>Entries marked with * are newly added and must be configured.</b>","Define the FacilyPay Oney information about all shipping methods. <br /><b>FacilyPay Oney label: </b>The label of the shipping method (use 55 alphanumeric characters, accentuated characters and these special characters: space, slash, hyphen, apostrophe). <br /><b>Type: </b>The delivery type of shipping method. <br /><b>Speed: </b>Select whether the delivery is STANDARD or EXPRESS. <br /><b>Entries marked with * are newly added and must be configured.</b>"
"Method title","Method title"
"FacilyPay Oney label","FacilyPay Oney label"
"Type","Type"
"Delivery company","Delivery company"
"Reclaim in shop","Reclaim in shop"
"Relay point","Relay point"
"Reclaim in station","Reclaim in station"
"Speed","Speed"
"Standard","Standard"
"Express","Express"
"DISPLAY OPTIONS","DISPLAY OPTIONS"
"Activation","Activation"
"Enables / disables this payment method.","Enables / disables this payment method."
"Yes","Yes"
"No","No"
"Sort order","Sort order"
"In the payment methods list.","In the payment methods list."
"Method title","Method title"
"Method title to display on payment means page.","Method title to display on payment means page."
"Restrict to some countries","Restrict to some countries"
"All Allowed Countries","All Allowed Countries"
"Specific Countries","Specific Countries"
"Authorized countries","Authorized countries"
"Logo","Logo"
"Allowed file types: jpeg, gif, png.","Allowed file types: jpeg, gif, png."
"RESTRICTIONS","RESTRICTIONS"
"Customer group amount restriction","Customer group amount restriction"
"Customer group","Customer group"
"Minimum amount","Minimum amount"
"Maximum amount","Maximum amount"
"Define amount restriction for each customer group.","Define amount restriction for each customer group."
"ALL GROUPS","ALL GROUPS"
"The number of days before the bank capture. Enter value only if different from PayZen general configuration.","The number of days before the bank capture. Enter value only if different from PayZen general configuration."
"ADVANCED OPTIONS","ADVANCED OPTIONS"
"Bank data acquisition mode","Bank data acquisition mode"
"Select how the credit card infos will be entered. Attention, to use data acquisition on the merchant site, you must ensure that you have subscribed to this option with PayZen.","Select how the credit card infos will be entered. Attention, to use data acquisition on the merchant site, you must ensure that you have subscribed to this option with PayZen."
"Bank data acquisition on payment platform","Bank data acquisition on payment platform"
"Card type selection on merchant site","Card type selection on merchant site"
"Payment page integrated to checkout process (iframe mode)","Payment page integrated to checkout process (iframe mode)"
"1-Click payment","1-Click payment"
"Enable 1-Click to add PayZen payment button to your cart and / or product pages.","Enable 1-Click to add PayZen payment button to your cart and / or product pages."
"1-Click button text","1-Click button text"
"The text to display on the PayZen 1-Click payment button.","The text to display on the PayZen 1-Click payment button."
"1-Click button location","1-Click button location"
"Select where to display PayZen 1-Click payment button.","Select where to display PayZen 1-Click payment button."
"Product page","Product page"
"Cart page","Cart page"
"Product and cart pages","Product and cart pages"
"Card data registration mode","Card data registration mode"
"Select how you want to propose card data registration on your website.","Select how you want to propose card data registration on your website."
"Card data registration message","Card data registration message"
"Message displayed on your website to invite buyers to register their card data.","Message displayed on your website to invite buyers to register their card data."
"Registration on by default","Registration on by default"
"Registration off by default","Registration off by default"
"Registration always on","Registration always on"
"PAYMENT OPTIONS","PAYMENT OPTIONS"
"Payment options","Payment options"
"Click on &laquo;Add&raquo; button to configure one or more payment options. <br /><b>Label : </b>The option label to display on the frontend. <br /><b>Min. amount : </b>Minimum amount to enable the payment option. <br /><b>Max. amount : </b>Maximum amount to enable the payment option. <br /><b>Contract : </b>ID of the contract to use with the option. <br /><b>Count : </b>Total number of payments. <br /><b>Period : </b>Delay (in days) between payments. <br /><b>1st payment : </b>Amount of first payment, in percentage of total amount. If empty, all payments will have the same amount.","Click on &laquo;Add&raquo; button to configure one or more payment options. <br /><b>Label : </b>The option label to display on the frontend. <br /><b>Min. amount : </b>Minimum amount to enable the payment option. <br /><b>Max. amount : </b>Maximum amount to enable the payment option. <br /><b>Contract : </b>ID of the contract to use with the option. <br /><b>Count : </b>Total number of payments. <br /><b>Period : </b>Delay (in days) between payments. <br /><b>1st payment : </b>Amount of first payment, in percentage of total amount. If empty, all payments will have the same amount."
"Add","Add"
"Delete","Delete"
"Label","Label"
"Min. amount","Min. amount"
"Max. amount","Max. amount"
"Contract","Contract"
"Count","Count"
"Period","Period"
"1st payment","1st payment"
"Gift card types","Gift card types"
"Select the gift card types that can be used for the payment.","Select the gift card types that can be used for the payment."
"Add cards","Add cards"
