"Accept payments by credit card securely via PayZen payment platform.","Accepte les paiements sécurisés par carte bancaire via la plateforme de paiement PayZen."
"GENERAL CONFIGURATION","CONFIGURATION GÉNÉRALE"
"STANDARD PAYMENT","PAIEMENT STANDARD"
"PAYMENT IN INSTALLMENTS","PAIEMENT EN PLUSIEURS FOIS"
"GIFT CARD PAYMENT","PAIEMENT PAR CARTE CADEAU"
"FACILYPAY ONEY PAYMENT","PAIEMENT FACILYPAY ONEY"
"PAYPAL PAYMENT","PAIEMENT PAYPAL"
"SOFORT BANKING PAYMENT","PAIEMENT SOFORT BANKING"
"POSTFINANCE PAYMENT","PAIEMENT POSTFINANCE"
"MODULE INFORMATION","INFORMATIONS SUR LE MODULE"
"Developed by","Développé par"
"Contact us","Courriel de contact"
"Module version","Version du module"
"Platform version","Version de la plateforme"
"Reset the module","Réinitialiser le module"
"Click this button to reset the module settings.","Cliquer sur ce bouton pour supprimer les paramètres du module."
"Reset","Réinitialiser"
"Logs","Logs"
"Enable / disable module logs.","Activer / désactiver les logs du module."
"Enable","Activer"
"Disable","Désactiver"
"PAYMENT PLATFORM ACCESS","ACCÈS À LA PLATEFORME"
"Store identifier","Identifiant de la boutique"
"The identifier provided by PayZen.","Identifiant fourni par PayZen."
"Certificate in test mode","Certificat en mode test"
"Certificate provided by PayZen for test mode (available in your store Back Office).","Certificat fourni par PayZen pour le mode test (disponible sur le Back Office de votre boutique)."
"Certificate in production mode","Certificat en mode production"
"Certificate provided by PayZen (available in your store Back Office after enabling production mode).","Certificat fourni par PayZen (disponible sur le Back Office de votre boutique après passage en production)."
"Mode","Mode"
"The context mode of this module.","Mode de fonctionnement du module."
"Payment page URL","URL de la page de paiement"
"Link to the payment page.","URL vers laquelle l'acheteur sera redirigé pour le paiement."
"Notification URL to copy into your PayZen Back Office","URL de notification à copier dans le Back Office PayZen"
"<span style='color: red;'>In multistore mode, notification URL is the same for all the stores.</span>","<span style='color: red;'>En mode multi-boutique, l'URL de notification est la même pour toutes les boutiques.</span>"
"PAYMENT PAGE","PAGE DE PAIEMENT"
"Default Language","Langue par défaut"
"Default language on the payment page.","Sélectionner la langue par défaut à utiliser sur la page de paiement."
"French","Français"
"German","Allemand"
"English","Anglais"
"Spanish","Espagnol"
"Chinese","Chinois"
"Italian","Italien"
"Japanese","Japonnais"
"Portuguese","Portugais"
"Dutch","Néerlandais"
"Swedish","Suédois"
"Russian","Russe"
"Polish","Polonais"
"Turkish","Turc"
"Available languages","Langues disponibles"
"Languages available on the payment page. If you do not select any, all the supported languages will be available.","Sélectionner les langues à proposer sur la page de paiement."
"Capture delay","Délai avant remise en banque"
"The number of days before the bank capture (adjustable in your PayZen Back Office).","Le nombre de jours avant la remise en banque (paramétrable sur votre Back Office PayZen)."
"Validation mode","Mode de validation"
"If manual is selected, you will have to confirm payments manually in your PayZen Back Office.","En mode manuel, vous devrez confirmer les paiements dans le Back Office de votre boutique."
"PayZen general configuration","Configuration générale PayZen"
"Back Office configuration","Configuration Back Office"
"Automatic","Automatique"
"Manual","Manuelle"
"Card Types","Types de carte"
"The card type(s) that can be used for the payment. Select none to use platform configuration.","Le(s) type(s) de carte pouvant être utilisé(s) pour le paiement. Ne rien sélectionner pour utiliser la configuration de la plateforme."
"ALL","TOUTES"
"Category mapping","Association des catégories"
"Use the same category for all products.","Utiliser la même catégorie pour tous les produits."
"(Use category mapping below)","(Utiliser les associations ci-dessous)"
"Food and grocery","Alimentation et épicerie"
"Automotive","Automobile"
"Entertainment","Loisirs"
"Home and garden","Maison et jardin"
"Home appliance","Electroménager"
"Auction and group buying","Enchères et achats groupés"
"Flowers and gifts","Fleurs et cadeaux"
"Computer and software","Informatique et logiciels"
"Health and beauty","Santé et beauté"
"Service for individual","Services à la personne"
"Service for business","Services aux entreprises"
"Sports","Sports"
"Clothing and accessories","Habillement et accessoires"
"Travel","Voyages"
"Home audio, photo, video","Audio, photo, vidéo domestiques"
"Telephony","Téléphonie"
"Magento category","Catégorie Magento"
"PayZen category","Catégorie PayZen"
"Match each product category with a PayZen category. <br /><b>Entries marked with * are newly added and must be configured.</b>","Faire la correspondance entre chaque catégorie produit et une catégorie PayZen. <br /><b>Les entrées marquées par * sont nouvelles et doivent être configurées.</b>"
"PAYMENT PAGE CUSTOMIZE","PERSONNALISATION DE LA PAGE DE PAIEMENT"
"Theme configuration","Configuration du thème"
"The theme configuration to customize the payment page.","Configuration du thème pour personnaliser la page de paiement."
"Shop name","Nom de la boutique"
"Shop name to display on the payment page. Leave blank to use platform configuration.","Nom affiché sur la page de paiement. Laisser vide pour utiliser la configuration de la plateforme."
"Shop URL","URL de la boutique"
"Shop URL to display on the payment page. Leave blank to use platform configuration.","URL affichée sur la page de paiement. Laisser vide pour utiliser la configuration de la plateforme."
"SELECTIVE 3-DS","3-DS SÉLECTIF"
"Minimum amount to activate 3-DS","Montant minimum pour lequel activer 3-DS"
"Needs subscription to Selective 3-D Secure option.","Nécessite la souscription à l'option 3-D Secure sélectif."
"RETURN TO SHOP","RETOUR À LA BOUTIQUE"
"Automatic redirection","Redirection automatique"
"If enabled, the buyer is automatically redirected to your site at the end of the payment.","Si activée, l'acheteur sera redirigé automatiquement vers votre site à la fin du paiement."
"Redirection timeout on success","Temps avant redirection (succès)"
"Time in seconds (0-300) before the buyer is automatically redirected to your website after a successful payment.","Temps en secondes (0-300) avant que l'acheteur ne soit redirigé automatiquement vers votre site lorsque le paiement a réussi."
"Redirection message on success","Message avant redirection (succès)"
"Message displayed on the payment page prior to redirection after a successful payment.","Message affiché sur la page de paiement avant redirection lorsque le paiement a réussi."
"Redirection timeout on failure","Temps avant redirection (échec)"
"Time in seconds (0-300) before the buyer is automatically redirected to your website after a declined payment.","Temps en secondes (0-300) avant que l'acheteur ne soit redirigé automatiquement vers votre site lorsque le paiement a échoué."
"Redirection message on failure","Message avant redirection (échec)"
"Message displayed on the payment page prior to redirection after a declined payment.","Message affiché sur la page de paiement avant redirection, lorsque le paiement a échoué."
"Return mode","Mode de retour"
"Method that will be used for transmitting the payment result from the payment page to your shop.","Façon dont l'acheteur transmettra le résultat du paiement lors de son retour à la boutique."
"GET (parameters in the URL)","GET (paramètres dans l'URL)"
"POST (form)","POST (formulaire)"
"Registered orders status","Statut des commandes enregistrées"
"Status of orders when payment is successfull.","Statut des commandes dont le paiement a réussi."
"Invoice creation","Création de la facture"
"Automatically create invoice when payment is successfull.","Créer la facture automatiquement si le paiement a réussi."
"ADDITIONAL OPTIONS","OPTIONS ADDITIONNELLES"
"Configure this section if you use advanced risk assessment module or if you have a FacilyPay Oney contract.","Configurez cette section si vous utilisez le module de gestion de risques avancé ou si avez un contrat FacilyPay Oney."
"FacilyPay Oney contract","Contrat FacilyPay Oney"
"Select &laquo;Yes&raquo; if you have a FacilyPay Oney contract.","Sélectionnez &laquo;Oui&raquo; si vous avez un contrat FacilyPay Oney."
"FacilyPay Oney shipping options","Options de livraison FacilyPay Oney"
"Define the FacilyPay Oney information about all shipping methods. <br /><b>FacilyPay Oney label: </b>The label of the shipping method (use 55 alphanumeric characters, accentuated characters and these special characters: space, slash, hyphen, apostrophe). <br /><b>Type: </b>The delivery type of shipping method. <br /><b>Speed: </b>Select whether the delivery is STANDARD or EXPRESS. <br /><b>Entries marked with * are newly added and must be configured.</b>","Définir les informations FacilyPay Oney sur toutes les méthodes de livraison. <br /><b>Libellé FacilyPay Oney: </b>Le libellé de la méthode livraison (utiliser 55 caractères alphanumériques, caractères accentués et les caractères spéciaux suivants: espace, slash, tiret, apostrophe). <br /><b>Type: </b>Le type d'envoi de la méthode de livraison. <br /><b>Vitesse: </b>Sélectionner la vitesse de livraison STANDARD ou EXPRESS (moins de 24h). <br /><b>Les entrées marquées par * sont nouvelles et doivent être configurées.</b>"
"Method title","Titre de la méthode"
"FacilyPay Oney label","Libellé FacilyPay Oney"
"Type","Type"
"Delivery company","Compagnie de livraison"
"Reclaim in shop","Retrait en magasin"
"Relay point","Point relais"
"Reclaim in station","Retrait en station"
"Speed","Vitesse"
"Standard","Standard"
"Express","Express"
"DISPLAY OPTIONS","OPTIONS D'AFFICHAGE"
"Activation","Activation"
"Enables / disables this payment method.","Active / désactive cette méthode de paiement."
"Yes","Oui"
"No","Non"
"Sort order","Ordre d'affichage"
"In the payment methods list.","Dans la liste des moyens de paiement."
"Method title","Titre de la méthode"
"Method title to display on payment means page.","Titre de la méthode à afficher sur la page des moyens de paiement."
"Restrict to some countries","Restreindre à certains pays"
"All Allowed Countries","Tous les pays autorisés"
"Specific Countries","Certains pays"
"Authorized countries","Pays autorisés"
"Logo","Logo"
"Allowed file types: jpeg, gif, png.","Types de fichier autorisés: jpeg, gif, png."
"RESTRICTIONS","RESTRICTIONS"
"Customer group amount restriction","Restriction sur le montant par groupe de client"
"Customer group","Groupe de clients"
"Minimum amount","Montant minimum"
"Maximum amount","Montant maximum"
"Define amount restriction for each customer group.","Définir la restriction sur le montant pour chaque groupe de client."
"ALL GROUPS","TOUS LES GROUPES"
"The number of days before the bank capture. Enter value only if different from PayZen general configuration.","Le nombre de jours avant la remise en banque. Saisir une valeur seulement si différente de la configuration PayZen générale."
