"Accept payments by credit cards with PayZen.","Aceitar os pagamentos por cartão com PayZen."
"GENERAL CONFIGURATION","CONFIGURAÇÕES GERAIS"
"STANDARD PAYMENT","PAGAMENTO DEFAULT"
"PAYMENT IN INSTALLMENTS","PAGAMENTO EM X VEZES"
"GIFT CARD PAYMENT","PAGAMENTO POR CARTÃO PRESENTE"
"CHOOZEO PAYMENT","PAGAMENTO CHOOZEO"
"ONEY PAYMENT","PAGAMENTO ONEY"
"FULL CB PAYMENT","PAGAMENTO FULL CB"
"SEPA PAYMENT","PAGAMENTO SEPA"
"PAYPAL PAYMENT","PAGAMENTO PAYPAL"
"FRANFINANCE PAYMENT","PAGAMENTO FRANFINANCE"
"OTHER PAYMENT MEANS","OUTROS MEIOS DE PAGAMENTOS"
"MODULE INFORMATION","INFORMAÇÕES SOBRE O MÓDULO"
"Developed by","Desenvolvido por"
"Contact us","Email de contato"
"Module version","Versão do módulo"
"Gateway version","Versão da plataforma"
"Click to view the module configuration documentation","Clique para consultar a documentação da configuração do módulo"
"Reset the module","Reiniciar o módulo"
"Click this button to reset the module settings.","Clique neste botão para apagar os parâmetros do módulo."
"Reset ","Reinicializar"
"Logs ","Logs"
"Enable / disable module logs.","Habilitar / Deshabilitar os logs do módulo."
"Enable","Habilitar"
"Disable","Deshabilitar"
"PAYMENT GATEWAY ACCESS","ACESSO À PLATAFORMA"
"Store identifier","Código da loja"
"The identifier provided by PayZen.","Código dado pelo PayZen."
"Key in test mode","Chave em modo teste"
"Key provided by PayZen for test mode (available in PayZen Back Office).","Chave dada pelo PayZen para o modo teste (disponível no Back Office PayZen)."
"Key in production mode","Chave em modo produção"
"Key provided by PayZen (available in PayZen Back Office after enabling production mode).","Chave dada pelo PayZen (disponível no Back Office PayZen após passar em produção)."
"Mode","Modo"
"The context mode of this module.","Modo de funcionamento do módulo."
"Signature algorithm","Algoritmo de assinatura"
"Algorithm used to compute the payment form signature. Selected algorithm must be the same as one configured in the PayZen Back Office.<br /><b>The HMAC-SHA-256 algorithm should not be activated if it is not yet available in the PayZen Back Office, the feature will be available soon.</b>","Algoritmo usado para calcular a assinatura do formulário de pagamento. O algoritmo selecionado deve ser o mesmo que foi configurado no Back Office PayZen.<br/><b>O HMAC-SHA-256 não deve estar ativo enquanto não estiver disponível no Back Office PayZen, a funcionalidade será disponível em breve.</b>"
"Payment page URL","URL da página de pagamento"
"Link to the payment page.","URL para qual o comprador será redirecionado para o pagamento."
"Instant Payment Notification URL","URL de notificação"
"URL to copy into your PayZen Back Office > Settings > Notification rules.<br />In multistore mode, notification URL is the same for all the stores.","URL para copiar no Back Office PayZen > Configurações > Regras de notificações.<br />Em modo multi-loja, a URL de notificação é a mesma para todas as lojas."
"REST API KEYS","CHAVES DE API REST"
"REST API keys are available in your PayZen Back Office (menu: Settings > Shops > REST API keys).","As chaves do API REST são disponíveis no seu Back Office PayZen (menu: Configurações > Lojas > Chaves de API REST)."
"Configure this section if you are using order operations from Magento Back Office or if you are using embedded payment fields or Smartform modes.","Configure esta seção para usar as operações nos pedidos a partir do Back Office Magento ou para usar os modos campos de pagamento incorporados ou Smartform."
"Configure this section only if you are using embedded payment fields or Smartform modes.","Configure esta seção somente se você usar os modos campos de pagamento incorporados ou Smartform."
"Test password","Senha de teste"
"Production password","Senha de produção"
"Public test key","Chave pública de teste"
"Public production key","Chave pública de produção"
"HMAC-SHA-256 test key","Chave HMAC-SHA-256 de teste"
"HMAC-SHA-256 production key","Chave HMAC-SHA-256 de produção"
"REST API Notification URL","URL de notificação da API REST"
"REST API server URL","URL do servidor do API REST"
"JavaScript client URL","URL do cliente JavaScript"
"PAYMENT PAGE","PÁGINA DE PAGAMENTO"
"Default Language","Idioma por default"
"Default language on the payment page.","Selecione o idioma default para usar na página de pagamento."
"French","Francês"
"German","Alemão"
"English","Inglês"
"Spanish","Espanhol"
"Chinese","Chinês"
"Italian","Italiano"
"Japanese","Japonês"
"Portuguese","Português"
"Dutch","Holandês"
"Swedish","Sueco"
"Russian","Russo"
"Polish","Polonês"
"Turkish","Turco"
"Available languages","Idiomas disponíveis"
"Languages available on the payment page. If you do not select any, all the supported languages will be available.","Selecione os idiomas para propor na página de pagamento. Não selecionar nada para usar a configuração da plataforma."
"Capture delay","Prazo antes da captura no banco"
"The number of days before the bank capture (adjustable in your PayZen Back Office).","A quantidade de dias antes da captura no banco (configurável no seu Back Office PayZen)."
"Validation mode","Modo de validação"
"If manual is selected, you will have to confirm payments manually in your PayZen Back Office.","Em modo manual, deve confirmar os pagamentos no Back Office PayZen."
"PayZen general configuration","Configuração geral PayZen"
"PayZen Back Office configuration","Configuração Back Office PayZen"
"Automatic","Automático"
"Manual","Manual"
"Card Types","Tipos de cartões"
"The card type(s) that can be used for the payment. Select none to use gateway configuration.","O(s) tipo(s) de cartão que pode(m) ser usado(s) para o pagamento. Selecionar nada para usar a configuração da plataforma."
"ALL","TODOS"
"Category mapping","Associação das categorias"
"Use the same category for all products.","Usar a mesma categoria para todos os produtos."
"(Use category mapping below)","(Usar as associações abaixo)"
"Food and grocery","Alimentos"
"Automotive","Automotivo"
"Entertainment","Lazeres"
"Home and garden","Casa e jardim"
"Home appliance","Eletrodomésticos"
"Auction and group buying","Leilões e compras em grupo"
"Flowers and gifts","Flores e presentes"
"Computer and software","Informática e softwares"
"Health and beauty","Saúde e beleza"
"Service for individual","Serviços para PF"
"Service for business","Serviços para PJ"
"Sports","Esportes"
"Clothing and accessories","Roupas e acessórios"
"Travel","Viagens"
"Home audio, photo, video","Áudio, foto, vídeos"
"Telephony","Telefonia"
"Magento category","Categoria Magento"
"PayZen category","Categoria PayZen"
"Match each product category with a PayZen category.<br /><b>Entries marked with * are newly added and must be configured.</b>","Associar cada categoria de produto com uma categoria PayZen.<br /><b>As entradas marcadas por * são novas e devem ser configuradas.</b>"
"PAYMENT PAGE CUSTOMIZE","PERSONALIZAÇÃO DA PÁGINA DE PAGAMENTO"
"Theme configuration","Configuração do tema"
"The theme configuration to customize the payment page.","Configuração do tema para personalizar a página de pagamento."
"Shop name","Nome da loja"
"Shop name to display on the payment page. Leave blank to use gateway configuration.","Não exibido na página de pagamento. Deixar vazio para usar a configuração da plataforma."
"Shop URL","URL da loja"
"Shop URL to display on the payment page. Leave blank to use gateway configuration.","URL exibida na página de pagamento. Deixar vazio para usar a configuração da plataforma."
"CUSTOM 3DS","3DS PERSONALIZADO"
"Manage 3DS","Gerenciar o 3DS"
